propertyType,checkIn,checkOut,Cancellation Policies,Check in after,Check out before,personCapacity,roomType,Bedrooms,baths,rating_guestSatisfaction,location,Base_Price,Cleaning_Fee,price_cleaningFee,subDescription/title,timestamp,iosLink,url
Room in hotel,12/31/2024,1/1/2025,Moderate, 3:00 PM, 11:00 AM,2,Private room,1,1.5,4.6,Barcelona,$162.00 ,,,"Room in hotel in Barcelona, Spain",2024-10-08T18:20:32.939Z,airbnb://rooms/927418121223302860,https://www.airbnb.com/rooms/927418121223302860?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Private room in hostel,12/31/2024,1/1/2025,Moderate,flexible check, 11:00 AM,2,Private room,1,1,4.63,Barcelona,$171.00 ,,,"Private room in hostel in Barcelona, Spain",2024-10-08T18:20:42.742Z,airbnb://rooms/53185946,https://www.airbnb.com/rooms/53185946?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Entire serviced apartment,12/31/2024,1/1/2025,Flexible, 3:00 PM, 12:00 PM,2,Entire home/apt,1,1,4.54,Castelldefels,$176.00 ,,,"Entire serviced apartment in Castelldefels, Spain",2024-10-08T18:20:50.769Z,airbnb://rooms/48329328,https://www.airbnb.com/rooms/48329328?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Private room in hostel,12/31/2024,1/1/2025,Moderate, 2:00 pm, 11:00 AM,3,Private room,1,1,4.83,Barcelona,$179.00 ,Cleaning fee,$13.00 ,"Private room in hostel in Barcelona, Spain",2024-10-08T18:20:47.787Z,airbnb://rooms/50081241,https://www.airbnb.com/rooms/50081241?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Room in boutique hotel,12/31/2024,1/1/2025,Moderate,flexible check, 11:00 AM,2,Hotel room,1,,4.63,Barcelona,$182.00 ,,,"Room in boutique hotel in Barcelona, Spain",2024-10-08T18:20:29.008Z,airbnb://hotels/29322553,https://www.airbnb.com/rooms/29322553?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Room in hotel,12/31/2024,1/1/2025,Flexible,flexible check, 11:00 AM,2,Private room,1,1,4.7,Barcelona,$192.00 ,,,"Room in hotel in Barcelona, Spain",2024-10-08T18:20:30.950Z,airbnb://rooms/53159288,https://www.airbnb.com/rooms/53159288?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Entire rental unit,12/31/2024,1/1/2025,Moderate, 3:00 PM , 11:00 AM,2,Entire home/apt,1,1,5,Barcelona,$203.00 ,,,"Entire rental unit in Barcelona, Spain",2024-10-08T18:20:49.646Z,airbnb://rooms/1145810180125514289,https://www.airbnb.com/rooms/1145810180125514289?locale=en-US&currency=USD&check_in=2024-12-31&check_out=2025-01-01
Private room in rental unit,1/1/2023,12/31/2024,Long-Term Stay: Firm, 2:00 pm, 11:00 AM,2,Private room,1,,4.56,Barcelona,$206.00 ,Cleaning fee,$5.00 ,"Room in Barcelona, Spain",2024-10-08T18:20:41.004Z,airbnb://rooms/27381858,https://www.airbnb.com/rooms/27381858?locale=en-US&currency=USD&check_in=2023-01-01&check_out=2024-12-31
Private room in rental unit,1/1/2023,12/31/2024,Long-Term Stay: Firm, 1:00 PM, 11:00 AM,1,Private room,1,,4.91,Barcelona,$220.00 ,,,"Room in Barcelona, Spain",2024-10-08T18:20:36.969Z,airbnb://rooms/1218645303173234166,https://www.airbnb.com/rooms/1218645303173234166?locale=en-US&currency=USD&check_in=2023-01-01&check_out=2024-12-31
Private room in rental unit,1/1/2023,12/31/2024,Long-Term Stay: Firm,flexible check,,2,Private room,1,,4.96,Santa Coloma de Gramenet,$220.00 ,,,"Room in Santa Coloma de Gramenet, Spain",2024-10-08T18:20:37.325Z,airbnb://rooms/13841903,https://www.airbnb.com/rooms/13841903?locale=en-US&currency=USD&check_in=2023-01-01&check_out=2024-12-31
